Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1661356407,50,GET,orders-pythonanywhere,0.500000,0.000000,15000,15000,16000,16000,17000,17000,17000,17000,17000,17000,17000,78,0,16000.0,14860.61654871795,4212.772800000002,20915.1679,35483.0
1661356407,50,GET,users-docker,18.800000,0.000000,500,620,790,840,1000,1300,1700,3500,3500,3500,3500,2251,0,530.0,595.1703159040426,27.584099999998557,4574.3349,2.0
1661356407,50,GET,users-pythonanywhere,1.200000,0.000000,16000,16000,17000,17000,18000,18000,18000,18000,18000,18000,18000,83,0,16000.0,15273.979854216866,5330.935,21940.1323,28519.0
1661356407,50,,Aggregated,41.700000,0.000000,500,640,780,840,1200,2500,15000,16000,18000,18000,18000,4575,0,530.0,1100.0765156065524,27.206500000000133,21940.1323,1124.2795628415302
1661356412,50,GET,orders-docker,24.400000,0.000000,480,560,610,670,780,1000,1500,1600,3700,3700,3700,2280,0,520.0,582.3242420175441,27.206500000000133,4024.695300000001,2.0
1661356412,50,GET,orders-pythonanywhere,0.700000,0.000000,15000,15000,15000,15000,16000,16000,16000,16000,16000,16000,16000,81,0,15000.0,14853.335790123458,4212.772800000002,20915.1679,35483.0
1661356412,50,GET,users-docker,21.100000,0.000000,470,530,580,620,780,880,1000,1900,3500,3500,3500,2383,0,520.0,590.5086666386906,27.584099999998557,4574.3349,2.0
1661356412,50,GET,users-pythonanywhere,1.000000,0.000000,16000,17000,17000,18000,18000,18000,18000,18000,18000,18000,18000,88,0,16000.0,15297.713546590909,5330.935,21940.1323,28519.0
1661356412,50,,Aggregated,47.200000,0.000000,480,550,610,670,820,1500,15000,16000,18000,18000,18000,4832,0,530.0,1093.5845230753257,27.206500000000133,21940.1323,1116.1260347682119
1661356417,50,GET,orders-docker,24.100000,0.000000,470,550,600,640,750,860,1000,1400,1500,1500,1500,2405,0,510.0,578.0396889812895,27.206500000000133,4024.695300000001,2.0
1661356417,50,GET,orders-pythonanywhere,0.800000,0.000000,15000,15000,15000,15000,17000,17000,17000,17000,17000,17000,17000,87,0,15000.0,14872.496244827586,4212.772800000002,20915.1679,35483.0
1661356417,50,GET,users-docker,25.300000,0.000000,460,530,580,610,740,850,990,1000,1600,1600,1600,2512,0,520.0,584.5343564490446,27.584099999998557,4574.3349,2.0
1661356417,50,GET,users-pythonanywhere,0.800000,0.000000,15000,16000,17000,17000,18000,18000,18000,18000,18000,18000,18000,90,0,16000.0,15289.47539,5330.935,21940.1323,28519.0
1661356417,50,,Aggregated,51.000000,0.000000,470,550,610,660,790,990,15000,15000,18000,18000,18000,5094,0,530.0,1085.2955857479346,27.206500000000133,21940.1323,1111.8109540636042
1661356422,50,GET,orders-docker,24.700000,0.000000,470,550,580,620,740,860,930,1200,1400,1400,1400,2523,0,510.0,574.0780891002781,27.206500000000133,4024.695300000001,2.0
1661356422,50,GET,orders-pythonanywhere,0.800000,0.000000,15000,16000,17000,17000,17000,17000,17000,17000,17000,17000,17000,89,0,15000.0,14907.99724719101,4212.772800000002,20915.1679,35483.0
1661356422,50,GET,users-docker,25.900000,0.000000,450,520,580,610,740,830,990,1300,1600,1600,1600,2646,0,510.0,580.4403452380949,27.584099999998557,4574.3349,2.0
1661356422,50,GET,users-pythonanywhere,0.800000,0.000000,15000,16000,16000,16000,17000,17000,17000,17000,17000,17000,17000,96,0,16000.0,15298.479159375,5330.935,21940.1323,28519.0
1661356422,50,,Aggregated,52.200000,0.000000,460,550,590,640,770,950,15000,16000,17000,17000,17000,5354,0,520.0,1079.512500298839,27.206500000000133,21940.1323,1103.1283152782967
1661356427,50,GET,orders-docker,24.300000,0.000000,460,520,570,630,740,830,1100,1200,1400,1400,1400,2662,0,510.0,569.6971691960939,27.206500000000133,4024.695300000001,2.0
1661356427,50,GET,orders-pythonanywhere,0.700000,0.000000,16000,17000,17000,18000,18000,18000,18000,18000,18000,18000,18000,92,0,15000.0,14943.634485869565,4212.772800000002,20915.1679,35483.0
1661356427,50,GET,users-docker,25.400000,0.000000,450,530,570,600,710,770,950,1100,1600,1600,1600,2769,0,510.0,575.5832049115198,27.584099999998557,4574.3349,2.0
1661356427,50,GET,users-pythonanywhere,0.800000,0.000000,16000,16000,16000,17000,19000,19000,19000,19000,19000,19000,19000,100,0,16000.0,15300.995379000004,5330.935,21940.1323,28519.0
1661356427,50,,Aggregated,51.200000,0.000000,460,540,600,640,760,1000,15000,16000,19000,19000,19000,5623,0,520.0,1069.75594333985,27.206500000000133,21940.1323,1089.6670816290236
1661356432,50,GET,orders-docker,25.700000,0.000000,440,510,560,600,740,820,940,1000,1100,1100,1100,2782,0,500.0,565.2354040977722,27.206500000000133,4024.695300000001,2.0
1661356432,50,GET,orders-pythonanywhere,0.400000,0.000000,17000,17000,18000,18000,18000,18000,18000,18000,18000,18000,18000,93,0,15000.0,14961.101584946236,4212.772800000002,20915.1679,35483.0
1661356432,50,GET,users-docker,26.300000,0.000000,450,510,550,570,660,740,830,890,1100,1100,1100,2909,0,500.0,570.088839016844,27.584099999998557,4574.3349,2.0
1661356432,50,GET,users-pythonanywhere,1.000000,0.000000,17000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,106,0,16000.0,15435.516585849058,5330.935,21940.1323,28519.0
1661356432,50,,Aggregated,53.400000,0.000000,450,520,560,600,740,860,15000,18000,19000,19000,19000,5890,0,510.0,1062.5501752801313,27.206500000000133,21940.1323,1075.4354838709678
1661356437,50,GET,orders-docker,24.900000,0.000000,480,550,600,630,740,840,1200,1400,1500,1500,1500,2901,0,500.0,564.9959955877292,27.206500000000133,4024.695300000001,2.0
